,index,team,opponent,teamtowerkills,opptowerkills,towerkills,above
0,0,team liquid,100 thieves,9.0,1.0,10.0,False
1,1,team liquid,golden guardians,3.0,10.0,13.0,True
2,2,team liquid,counter logic gaming,11.0,1.0,12.0,False
3,3,team liquid,team solomid,8.0,1.0,9.0,False
4,4,team liquid,echo fox,10.0,0.0,10.0,False
5,5,team liquid,clutch gaming,1.0,10.0,11.0,False
6,6,team liquid,optic gaming,8.0,5.0,13.0,True
7,7,team liquid,flyquest,0.0,11.0,11.0,False
8,8,team liquid,cloud9,3.0,9.0,12.0,False
9,9,team liquid,counter logic gaming,7.0,2.0,9.0,False
10,10,team liquid,golden guardians,11.0,4.0,15.0,True
11,11,team liquid,clutch gaming,10.0,0.0,10.0,False
12,12,team liquid,100 thieves,10.0,4.0,14.0,True
13,13,team liquid,flyquest,10.0,6.0,16.0,True
14,14,team liquid,optic gaming,8.0,2.0,10.0,False
15,15,team liquid,cloud9,1.0,11.0,12.0,False
16,16,team liquid,echo fox,9.0,5.0,14.0,True
17,17,team liquid,team solomid,3.0,10.0,13.0,True
18,18,team liquid,100 thieves,3.0,9.0,12.0,False
19,19,team liquid,100 thieves,10.0,3.0,13.0,True
20,20,team liquid,100 thieves,9.0,2.0,11.0,False
21,21,team liquid,100 thieves,9.0,1.0,10.0,False
