date/time,Bookie,Market,T1,T2,To Win,Av. Chance (split),Av Chance (previous 8),Av Chance (previous 4),Bookie Odds,EV,Amount Bet,Did Win,Profit,Net Profit,
,,,,,,,,,,,,,,-258.2,
2018/08/19,365,FB,CLG,Clutch,CLG,68,,,1.9,1.3,10,1,19,9,
2018/08/19,365,FBaron,FlyQuest,GG,FlyQuest,68,,,1.61,1.1,10,1,16.1,6.1,
2018/08/19,365,FT,C9,100,C9,62,,,1.85,1.15,10,0,0,-10,
2018/08/19,365,FD,Echo,TL,TL,59,,,1.72,1.02,10,0,0,-10,
2018/08/19,365,FD,GG,Fly,GG,62,,,2,1.24,10,0,0,-10,
2018/08/20,365,FD,GG,CLG,GG,68.75,,,1.9,1.25,5,0,0,-5,
2018/08/20,365,Kills < 22.5,TSM,TL,,20.8,,,1.83,,10,0,0,-10,
2018/08/20,365,Kills > 22.5,Flyquest,C9,,24.1,,,1.83,,10,0,0,-10,
2018/08/20,365,FB,HWA Gaming,Fenerbahce,HWA,60,,,2.1,1.27,5,1,10.5,5.5,
2018/08/21,365,FT,Echo,TSM,Echo,1.18,,,2.1,1.24,5,1,10.5,5.5,
2018/08/21,365,FT,100,Flyquest,Flyquest,59,,,1.18,2,5,1,5.9,0.899999999999999,
2018/08/21,365,FD,Echo,TSM,Echo,60,,,2.1,1.2,5,0,0,-5,
2018/08/24,365,FT,Splyce,Shalke 04,Splyce,57,,,2.1,1.2,25,0,0,-25,
2018/08/24,365,FT,Splyce,Shalke 04,Splyce,57,,,2.1,1.2,25,0,0,-25,
2018/08/24,365,FT,Splyce,Shalke 04,Splyce,57,,,2.1,1.2,25,1,52.5,27.5,
2018/08/26,365,FT,CNB Esports,Flamengo,CNB Esports,63,68,62,2,1.27,10,1,20,10,
2018/08/26,365,FT,CNB Esports,Flamengo,CNB Esports,63,68,62,2,1.27,10,0,0,-10,
2018/08/26,365,FT,CNB Esports,Flamengo,CNB Esports,63,68,62,2,1.27,10,0,0,-10,
